word,value
condemnation,-2
condemned,-2
condemns,-2
condescend,-2
condescending,-2
condescendingly,-2
condescension,-2
confess,-2
confession,-2
confessions,-2
confined,-2
conflict,-2
conflicted,-2
conflicting,-2
conflicts,-2
confound,-2
confounded,-2
confounding,-2
confront,-2
confrontation,-2
confrontational,-2
confuse,-2
confused,-2
confuses,-2
confusing,-2
confusion,-2
confusions,-2
congested,-2
congestion,-2
cons,-2
conscons,-2
conservative,-2
conspicuous,-2
conspicuously,-2
conspiracies,-2
conspiracy,-2
conspirator,-2
conspiratorial,-2
conspire,-2
consternation,-2
contagious,-2
contaminate,-2
contaminated,-2
contaminates,-2
contaminating,-2
contamination,-2
contempt,-2
contemptible,-2
contemptuous,-2
contemptuously,-2
contend,-2
contention,-2
contentious,-2
contort,-2
contortions,-2
contradict,-2
contradiction,-2
contradictory,-2
contrariness,-2
contravene,-2
contrive,-2
contrived,-2
controversial,-2
controversy,-2
convoluted,-2
corrode,-2
corrosion,-2
corrosions,-2
corrosive,-2
corrupt,-2
corrupted,-2
corrupting,-2
corruption,-2
corrupts,-2
corruptted,-2
costlier,-2
costly,-2
counter-productive,-2
counterproductive,-2
coupists,-2
covetous,-2
coward,-2
cowardly,-2
crabby,-2
crack,-2
cracked,-2
cracks,-2
craftily,-2
craftly,-2
crafty,-2
cramp,-2
cramped,-2
cramping,-2
cranky,-2
crap,-2
crappy,-2
craps,-2
crash,-2
crashed,-2
crashes,-2
crashing,-2
crass,-2
craven,-4
cravenly,-4
craze,-4
crazily,-4
craziness,-4
crazy,-4
creak,-4
creaking,-4
creaks,-4
credulous,-4
creep,-4
creeping,-4
creeps,-4
creepy,-4
crept,-4
crime,-4
criminal,-4
cringe,-4
cringed,-4
cringes,-4
cripple,-4
crippled,-4
cripples,-4
crippling,-4
crisis,-3
critic,-3
critical,-3
criticism,-3
criticisms,-3
criticize,-3
criticized,-3
criticizing,-3
critics,-3
cronyism,-3
crook,-3
crooked,-3
crooks,-3
crowded,-3
crowdedness,-3
crude,-3
cruel,-3
crueler,-3
cruelest,-3
cruelly,-3
cruelness,-3
cruelties,-3
cruelty,-3
crumble,-3
crumbling,-3
crummy,-3
crumple,-3
crumpled,-3
crumples,-3
crush,-3
crushed,-3
crushing,-3
cry,-3
culpable,-3
culprit,-3
cumbersome,-3
cunt,-3
cunts,-3
cuplrit,-3
curse,-3
cursed,-3
curses,-3
curt,-3
cuss,-3
cussed,-3
cutthroat,-3
cynical,-3
cynicism,-3
d*mn,-3
damage,-3
damaged,-3
damages,-3
damaging,-3
damn,-3
damnable,-3
damnably,-3
damnation,-3
damned,-3
damning,-3
damper,-3
danger,-3
dangerous,-3
dangerousness,-3
dark,-3
darken,-3
darkened,-3
darker,-3
darkness,-3
dastard,-3
dastardly,-3
daunt,-3
daunting,-3
dauntingly,-3
dawdle,-3
daze,-3
dazed,-3
dead,-3
deadbeat,-3
deadlock,-3
deadly,-3
deadweight,-3
deaf,-3
dearth,-3
death,-3
debacle,-3
debase,-3
debasement,-3
debaser,-3
debatable,-3
debauch,-3
debaucher,-3
debauchery,-3
debilitate,-3
debilitating,-3
debility,-3
debt,-4
debts,-4
